B_0,Amp,X_1
1033.0,0.181,0.00094449898461
1073.0,0.162,0.00094304117374
1113.0,0.181,0.00093912263401
1153.0,0.1999999999999999,0.00093599327374
1193.0,0.1999999999999999,0.00093858118635
1233.0,0.1999999999999999,0.00093791820109
1273.0,0.2189999999999999,0.00093799596652
1313.0,0.2379999999999999,0.00093626184389
1353.0,0.2379999999999999,0.00093857711181
1393.0,0.2379999999999999,0.00093384075444
1433.0,0.2379999999999999,0.00093813537387
1473.0,0.2569999999999999,0.00093347125221
1513.0,0.2569999999999999,0.0009361220873
1553.0,0.2569999999999999,0.00093393458519
1593.0,0.2569999999999999,0.00093338493025
1633.0,0.2759999999999999,0.00093643233413
1673.0,0.2759999999999999,0.00093439489137
1713.0,0.2759999999999999,0.00094223796623
1753.0,0.314,0.00093739217846
1793.0,0.314,0.00094425212592
1833.0,0.314,0.00093937641941
1873.0,0.314,0.00093835388543
1913.0,0.333,0.00093887402909
1953.0,0.333,0.00093982607359
1993.0,0.352,0.00093908212148
2033.0,0.352,0.0009399006376
2073.0,0.352,0.00094235752476
2113.0,0.371,0.00094261794584
2153.0,0.352,0.00094597385032
2193.0,0.371,0.0009462623857
2233.0,0.371,0.00094934989465
2273.0,0.371,0.00094709626865
2313.0,0.39,0.0009497248102
2353.0,0.4280000000000001,0.00094699149486
2393.0,0.39,0.00095046724891
2433.0,0.4090000000000001,0.00095276319189
2473.0,0.4280000000000001,0.00095498148585
2513.0,0.4090000000000001,0.00095504772617
2553.0,0.39,0.00095469056396
2593.0,0.4280000000000001,0.00095731765032
2633.0,0.4470000000000001,0.0009576176526
2673.0,0.4280000000000001,0.00095706706634
2713.0,0.4470000000000001,0.00096612726338
2753.0,0.4660000000000001,0.00095818412956
2793.0,0.4850000000000001,0.00096100289375
2833.0,0.5040000000000001,0.00096241285792
2873.0,0.4660000000000001,0.00096700392896
2913.0,0.4850000000000001,0.00096639757976
2953.0,0.4850000000000001,0.00096827570815
2993.0,0.5040000000000001,0.00096996111097
3033.0,0.5230000000000001,0.00097374484176
3073.0,0.5230000000000001,0.00097234267741
3113.0,0.5040000000000001,0.00097973609809
3153.0,0.5420000000000001,0.0009813758079
3193.0,0.5420000000000001,0.00098020222504
3233.0,0.5420000000000001,0.00097647972871
3273.0,0.5420000000000001,0.00097942585126
3313.0,0.5610000000000002,0.00097939057741
3353.0,0.5420000000000001,0.00098125007935
3393.0,0.6180000000000002,0.00098459795117
3433.0,0.5610000000000002,0.00098701997194
3473.0,0.5990000000000002,0.00098669982981
3513.0,0.5420000000000001,0.00098718761001
3553.0,0.5990000000000002,0.00098888727371
3593.0,0.5800000000000002,0.00099021499045
3633.0,0.6370000000000002,0.00099000113551
3673.0,0.5800000000000002,0.00099279626738
3713.0,0.6370000000000002,0.00099941331428
3753.0,0.6370000000000002,0.00099963136017
3793.0,0.6560000000000002,0.00099916418549
3833.0,0.6370000000000002,0.00099686684553
3873.0,0.6560000000000002,0.00099791376851
3913.0,0.6370000000000002,0.00099790084641
3953.0,0.6940000000000003,0.0010005807271
3993.0,0.6750000000000003,0.0010017142631
4033.0,0.6750000000000003,0.0010074235033
4073.0,0.6940000000000003,0.001007951214
4113.0,0.6750000000000003,0.001005535014
4153.0,0.7130000000000003,0.0010142399697
4193.0,0.6750000000000003,0.0010117274942
4233.0,0.7320000000000003,0.001009532134
4273.0,0.6750000000000003,0.0010113212047
4313.0,0.7510000000000003,0.0010142632527
4353.0,0.7890000000000004,0.0010165523272
4393.0,0.7510000000000003,0.0010154540651
4433.0,0.7510000000000003,0.0010186670115
4473.0,0.7890000000000004,0.0010187656153
4513.0,0.7700000000000004,0.001020554686
4553.0,0.7890000000000004,0.0010215725051
4593.0,0.7510000000000003,0.0010222508572
4633.0,0.7700000000000004,0.0010234083747
4673.0,0.7890000000000004,0.0010297271656
4713.0,0.8080000000000004,0.0010253551882
4753.0,0.7890000000000004,0.001032076194
4793.0,0.7890000000000004,0.0010265454184
4833.0,0.7890000000000004,0.00103370531
4873.0,0.8650000000000004,0.0010309227509
4913.0,0.8080000000000004,0.0010321839945
4953.0,0.8840000000000005,0.001034422894
4993.0,0.8460000000000004,0.0010370347882
5033.0,0.8460000000000004,0.0010358839063
