B Freq,B Ampl,X1,Y1,R1,T1,X2,Y2,R2,T2
1033,0.01,0.00010659889813,1.9510765924e-05,0.00010953911988,10.260090828,1.3160762364e-06,-9.9934914033e-07,1.1423745718e-06,-61.021297455
1033,0.028999999999999998,0.00030355679337,5.5477346905e-05,0.0003085845965,10.356945992,3.1457420846e-06,-9.0226603788e-06,9.5553177744e-06,-70.778930664
1033,0.048,0.00047415072913,8.6576132162e-05,0.00048198996228,10.347758293,2.593615136e-06,-2.4333809051e-05,2.4471641154e-05,-83.916107178
1033,0.067,0.0006196590839,0.00011242537585,0.00063711695839,10.329596519,1.5428039433e-06,-4.6484077757e-05,4.6509670938e-05,-88.099052429
1033,0.08600000000000001,0.00073402491398,0.00013259152183,0.00074590422446,10.239281654,-1.3075379002e-06,-7.2542199632e-05,7.2553986683e-05,-91.032608032
1033,0.10500000000000001,0.00081445177784,0.00014441453095,0.00082715612371,10.054893494,1.2996868008e-06,-0.00010158670921,0.00010159502563,-89.266998291
1033,0.12400000000000001,0.00088941305876,0.00016039509501,0.0009037599666,10.22273922,-7.0795904321e-06,-0.00013792299433,0.00013810455857,-92.938400269
1033,0.14300000000000002,0.00092362886062,0.00016541135847,0.00093832361745,10.153381348,-9.3670196293e-06,-0.0001755872072,0.00017583688896,-93.053642273
1033,0.162,0.00093783764169,0.00016736886755,0.00095265515847,10.118623734,-1.7600947103e-05,-0.00021863472648,0.00021934206598,-94.602607727
1033,0.181,0.00094449898461,0.00017385161482,0.00096036598552,10.429553032,-1.6083960872e-05,-0.00026146133314,0.00026195557439,-93.520141602
1033,0.19999999999999998,0.00091228383826,0.00016985533875,0.00092796154786,10.546958923,-1.3615069292e-05,-0.00030602479819,0.00030632753624,-92.547409058
1033,0.21899999999999997,0.00086745357839,0.00017456358182,0.00089537166059,11.242511749,-1.1574847122e-05,-0.0003537517041,0.00035394102451,-91.874061584
1033,0.23799999999999996,0.00080904160859,0.0001727220515,0.00082727341214,12.051143646,-3.2990276395e-06,-0.00039801813546,0.00039803184336,-90.474891663
1033,0.25699999999999995,0.00072202354204,0.00017168886552,0.00074215559289,13.375862122,9.2150394266e-06,-0.00043968416867,0.00043978070607,-88.799346924
1033,0.27599999999999997,0.00060681026662,0.000164412093,0.00062868912937,15.16001606,2.3203423552e-05,-0.00047825224465,0.00047881479259,-88.324195862
1033,0.295,0.00048364221584,0.00016951675934,0.00051248975797,19.315580368,3.5571443732e-05,-0.00051291717682,0.00051414914196,-86.032814026
1033,0.314,0.0003411010839,0.00016309443163,0.00037808695924,25.55437851,5.177062485e-05,-0.0005368431448,0.00053933361778,-84.491691589
1033,0.333,0.00019455667643,0.00015483229072,0.0002486470039,38.513511658,6.3943552959e-05,-0.00054988369811,0.00055358908139,-83.367111206
1033,0.35200000000000004,5.3953470342e-05,0.00014525612642,0.00015495263506,69.623146057,7.4335919635e-05,-0.00054862070829,0.0005536339595,-82.283638
1033,0.37100000000000005,-7.1620110248e-05,0.00013639594545,0.00015405612066,117.70349884,8.151257498e-05,-0.00053916615434,0.00054529303452,-81.40296936
1033,0.39000000000000007,-0.00017716463481,0.000121485813,0.00021481643489,145.56066895,8.9957196906e-05,-0.0005229372764,0.00053061824292,-80.239341736
1033,0.4090000000000001,-0.0002591595694,0.00010852981359,0.00028096689493,157.27722168,9.5186194812e-05,-0.00049529707758,0.00050436065067,-78.735733032
1033,0.4280000000000001,-0.00031276678783,9.5165749372e-05,0.00032692446257,163.07652283,0.00010442763596,-0.0004729196371,0.00048489961773,-77.237434387
1033,0.4470000000000001,-0.00034259472159,8.3842263848e-05,0.00035270478111,166.24842834,0.00011057633674,-0.00043537680176,0.000449199375,-75.749412537
1033,0.46600000000000014,-0.00034828792559,7.5019364886e-05,0.00035627570469,167.84448242,0.00011631233065,-0.00039876843221,0.00041538517689,-73.739143372
1033,0.48500000000000015,-0.00033247700776,6.7773115006e-05,0.00034521523048,167.85043335,0.00012912099191,-0.00036865792936,0.00039061604184,-70.697387695
1033,0.5040000000000001,-0.00029728814843,6.322551053e-05,0.00030393703491,167.99353027,0.00013952040172,-0.00033390551107,0.0003618823539,-67.322677612
1033,0.5230000000000001,-0.0002445091377,5.9186131693e-05,0.00025157051277,166.39265442,0.00014470420138,-0.00029440075741,0.00032804132206,-63.824897766
1033,0.5420000000000001,-0.00017861716333,5.5870797951e-05,0.00018715135229,162.63049316,0.00015578814782,-0.00026351635461,0.00030612223782,-59.408855438
1033,0.5610000000000002,-0.00010470701091,5.2994750149e-05,0.00011735417502,153.15490723,0.00016254419461,-0.00023062627588,0.00028215080965,-54.824020386
1033,0.5800000000000002,-3.3646811062e-05,5.6254899391e-05,6.5549385909e-05,120.88418579,0.00016776099801,-0.00020127471362,0.00026202149456,-50.189037323
1033,0.5990000000000002,3.9491842472e-05,5.5342967244e-05,6.7988599767e-05,54.488956451,0.00016896458692,-0.00017533211212,0.00024349614978,-46.059520721
1033,0.6180000000000002,0.00010632604244,5.589569264e-05,0.00012082493777,29.390203476,0.00016993445752,-0.0001519585494,0.00022796736448,-41.803668976
1033,0.6370000000000002,0.00016283518926,5.7951619965e-05,0.00017284006753,19.590196609,0.00016884926299,-0.00013482231589,0.0002160720469,-38.606571198
1033,0.6560000000000002,0.00020636103,5.9133388277e-05,0.00021466633189,15.989818573,0.0001642559364,-0.00012089569645,0.00020395043248,-36.353820801
1033,0.6750000000000003,0.00023812468862,6.1494894908e-05,0.00024593694252,14.480075836,0.00016005338694,-0.00011087440362,0.00019470545521,-34.711654663
1033,0.6940000000000003,0.0002560368448,6.2639628595e-05,0.00026358789182,13.747425079,0.00015426173923,-0.00010253278015,0.00018522865139,-33.610694885
1033,0.7130000000000003,0.00025899781031,6.40986691e-05,0.00026681178133,13.900663376,0.00014802365331,-0.00010041724454,0.00017887042486,-34.152435303
1033,0.7320000000000003,0.00024652402499,6.4952320827e-05,0.00025493704015,14.760424614,0.00014206916967,-0.00010010520054,0.00017379499332,-35.169399261
1033,0.7510000000000003,0.00022022127814,6.6576409154e-05,0.00023006483389,16.977489471,0.00013802238391,-0.00010091445438,0.00017097925593,-36.172237396
